tabela,tempo(s)
cliente,0.003519164998579072
cliente,0.0038381779995688703
cliente,0.003848298998491373
cliente,0.00343325699941488
cliente,0.0032968979994620895
cliente,0.003752848999283742
cliente,0.00369747699915024
cliente,0.0038918120008020196
cliente,0.003870024000207195
cliente,0.00394939700163377
cliente,0.0037173359996813815
cliente,0.005163731999346055
cliente,0.003888589999405667
cliente,0.004268792001312249
cliente,0.004492712001592736
cliente,0.004426157998750568
cliente,0.004369993999716826
cliente,0.00459273899832624
cliente,0.004497529000218492
cliente,0.004214352999042603
cliente,0.004701153999121743
cliente,0.0037808119996043388
cliente,0.0028211810003995197
cliente,0.002866667999114725
cliente,0.0028226850008650217
cliente,0.0033426559984945925
cliente,0.0037093249993631616
cliente,0.003973108001446235
cliente,0.004325297999457689
cliente,0.004581360999509343
cliente,0.004380445998322102
cliente,0.0039432500016118865
cliente,0.003885309000907
cliente,0.004460434000066016
cliente,0.0038804610012448393
cliente,0.003926006000256166
cliente,0.004367172999991453
cliente,0.0044321350014797645
cliente,0.0039043710003170418
cliente,0.003474712999377516
cliente,0.00357654400067986
cliente,0.003961438998885569
cliente,0.004010046999610495
cliente,0.0037673770002584206
cliente,0.004142255000260775
cliente,0.008222705000662245
cliente,0.004116017000342254
cliente,0.003890425999998115
cliente,0.003931455001293216
cliente,0.003235792000850779
cliente,0.0029157290009607095
cliente,0.002576511000370374
cliente,0.0024578619995736517
cliente,0.0033102879988291534
cliente,0.002566099999967264
cliente,0.0034375870000076247
cliente,0.003552590998879168
cliente,0.0038476440004160395
cliente,0.0037144959987926995
cliente,0.00366898299944296
cliente,0.0033317359993816353
cliente,0.0037709009993704967
cliente,0.004150384998865775
cliente,0.0037063060008222237
cliente,0.0036560040007316275
cliente,0.004123937000258593
cliente,0.003829557999779354
cliente,0.0036882159984088503
cliente,0.003824845000053756
cliente,0.0038027539994800463
cliente,0.0035241410005255602
cliente,0.00392097899930377
cliente,0.003597283000999596
cliente,0.003974232999098604
cliente,0.0035612780011433642
cliente,0.00401514499935729
cliente,0.0035425570004008478
cliente,0.0038473080003313953
cliente,0.003977881000537309
cliente,0.005103761999635026
cliente,0.00544187699961185
cliente,0.004351882000264595
cliente,0.003398500999537646
cliente,0.0033105180009442847
cliente,0.0027937129998463206
cliente,0.002265201999762212
cliente,0.00209521900069376
cliente,0.002009235000514309
cliente,0.0020090540001547197
cliente,0.0022788320002291584
cliente,0.0021831789999851026
cliente,0.0028497349994722754
cliente,0.0024876299994502915
cliente,0.0024877880005078623
cliente,0.002290788999744109
cliente,0.0021142400000826456
cliente,0.002074072999675991
